No,Species,Scenario,sd,TL
137,V11,S2-F0.2,0.000433251,2.470492
138,V12,S2-F0.2,-0.000932415,2.368656
139,V13,S2-F0.2,-0.000223506,2.133599
140,V14,S2-F0.2,-0.000393883,2.062617
141,V15,S2-F0.2,0.000874295,2.012745
142,V16,S2-F0.2,0.005174491,1
143,V17,S2-F0.2,0.006697466,1
144,V18,S2-F0.2,0.007565225,1
145,V1,S2-F0.4,-0.001142162,3.210548
146,V2,S2-F0.4,0.006135998,2.671403
147,V3,S2-F0.4,-0.02098806,3.765361
148,V4,S2-F0.4,-0.002037403,3.453106
149,V5,S2-F0.4,-0.003350062,3.21094
150,V6,S2-F0.4,0.000757058,2.664629
151,V7,S2-F0.4,0.000370669,2.603626
152,V8,S2-F0.4,-0.00020597,2.125719
153,V9,S2-F0.4,0.00083261,2.20051
154,V10,S2-F0.4,-0.001306352,2.249682
155,V11,S2-F0.4,0.000440392,2.468915
156,V12,S2-F0.4,-0.000929123,2.368932
157,V13,S2-F0.4,-0.000228643,2.13289
158,V14,S2-F0.4,-0.000395275,2.062871
159,V15,S2-F0.4,0.000878283,2.012803
160,V16,S2-F0.4,0.005183246,1
161,V17,S2-F0.4,0.006709839,1
162,V18,S2-F0.4,0.007577454,1
163,V1,S2-F0.6,-0.001141685,3.207721
164,V2,S2-F0.6,0.006335753,2.669023
165,V3,S2-F0.6,-0.021290966,3.754872
166,V4,S2-F0.6,-0.002028753,3.450873
167,V5,S2-F0.6,-0.00337336,3.208394
168,V6,S2-F0.6,0.000778688,2.662409
169,V7,S2-F0.6,0.000405475,2.603049
170,V8,S2-F0.6,-0.000205698,2.126014
171,V9,S2-F0.6,0.000839064,2.199956
172,V10,S2-F0.6,-0.001299641,2.248567
173,V11,S2-F0.6,0.000447824,2.467363
174,V12,S2-F0.6,-0.000925905,2.369223
175,V13,S2-F0.6,-0.000233997,2.132195
176,V14,S2-F0.6,-0.000396866,2.063134
177,V15,S2-F0.6,0.000882002,2.012863
178,V16,S2-F0.6,0.005191896,1
179,V17,S2-F0.6,0.00672237,1
180,V18,S2-F0.6,0.007589966,1
181,V1,S2-F0.8,-0.001141373,3.204899
182,V2,S2-F0.8,0.006542309,2.666657
183,V3,S2-F0.8,-0.021602264,3.744463
184,V4,S2-F0.8,-0.002021075,3.448673
185,V5,S2-F0.8,-0.003397664,3.20585
186,V6,S2-F0.8,0.000800128,2.660217
187,V7,S2-F0.8,0.000445556,2.60247
188,V8,S2-F0.8,-0.000205462,2.126318
189,V9,S2-F0.8,0.000845481,2.199417
190,V10,S2-F0.8,-0.001292857,2.247457
191,V11,S2-F0.8,0.000453749,2.465842
192,V12,S2-F0.8,-0.000922588,2.369532
193,V13,S2-F0.8,-0.000238516,2.131518
194,V14,S2-F0.8,-0.000398627,2.063406
195,V15,S2-F0.8,0.000885626,2.012925
196,V16,S2-F0.8,0.005200859,1
197,V17,S2-F0.8,0.006734482,1
198,V18,S2-F0.8,0.007601656,1
199,V1,S1-Fsq,-0.000780167,3.212331
200,V2,S1-Fsq,0.005479646,2.608425
201,V3,S1-Fsq,-0.01652569,3.742605
202,V4,S1-Fsq,-0.001574985,3.466707
203,V5,S1-Fsq,-0.002707802,3.199815
204,V6,S1-Fsq,0.000343855,2.65151
205,V7,S1-Fsq,-0.000208355,2.588089
206,V8,S1-Fsq,-0.000478837,2.121212
207,V9,S1-Fsq,0.000300429,2.183558
208,V10,S1-Fsq,-0.000994853,2.247107
209,V11,S1-Fsq,0.000330145,2.430356
210,V12,S1-Fsq,-0.000912266,2.360997
211,V13,S1-Fsq,-0.000218935,2.11887
212,V14,S1-Fsq,-0.000145839,2.059273
213,V15,S1-Fsq,0.000737767,2.011968
214,V16,S1-Fsq,0.004235242,1
215,V17,S1-Fsq,0.00549915,1
216,V18,S1-Fsq,0.006179042,1
217,V1,S2-Fsq,-0.001140851,3.202107
218,V2,S2-Fsq,0.006755367,2.664285
219,V3,S2-Fsq,-0.021920925,3.734127
220,V4,S2-Fsq,-0.002013932,3.446514
221,V5,S2-Fsq,-0.003422549,3.203327
222,V6,S2-Fsq,0.000821309,2.65804
223,V7,S2-Fsq,0.000487043,2.6019
224,V8,S2-Fsq,-0.000205438,2.12663
225,V9,S2-Fsq,0.000851724,2.198886
226,V10,S2-Fsq,-0.001286066,2.246346
227,V11,S2-Fsq,0.000461483,2.464338
228,V12,S2-Fsq,-0.000919501,2.369852
229,V13,S2-Fsq,-0.000244479,2.130851
230,V14,S2-Fsq,-0.000400614,2.063684
231,V15,S2-Fsq,0.000889608,2.012989
232,V16,S2-Fsq,0.005209431,1
233,V17,S2-Fsq,0.006747198,1
234,V18,S2-Fsq,0.0076145,1
