year,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F15,F16,F17,F18
2022,0.985045877,0.985721207,0.994934347,0.991965856,0.991020264,0.98729116,0.992875796,1.003214457,1.003070228,1.000623536,1.001663762,1.000623536,1.000392708,0.998987486,1.000294643,1.000211657
2023,1.004551713,1.004318096,1.001376514,1.002269679,1.002614904,1.003695516,1.001960201,0.998968592,0.999011653,0.999767138,0.999450021,0.999767138,0.999853318,1.000276378,0.999885111,0.99992093
2024,1.034585766,1.032453808,1.008416655,1.015056201,1.01839291,1.025890123,1.012305762,0.991511669,0.991828849,0.997702842,0.995285992,0.997702842,0.998552447,1.001712033,0.998817952,0.99921937
2025,0.934846388,0.936861913,0.972251516,0.959041582,0.956865683,0.938924574,0.961887797,1.012161462,1.01150274,1.001023966,1.005731827,1.001023966,1.000751011,0.994470474,0.999988146,1.0003433
2026,0.981232189,0.982057963,0.993512391,0.989779288,0.98863753,0.983915884,0.990895666,1.003992389,1.003810707,1.000748505,1.002053661,1.000748505,1.000471404,0.998704068,1.000349864,1.000254066
2027,0.938901112,0.940856565,0.974389466,0.962017476,0.959837918,0.943126763,0.964767356,1.011539621,1.010924166,1.001164538,1.005486285,1.001164538,1.000780045,0.994897043,1.000171174,1.000393358
2028,0.879756172,0.881871668,0.938374428,0.913736685,0.913176161,0.877507781,0.916960647,1.018957523,1.017681614,0.993666694,1.007704327,0.993666694,0.999226899,0.987647051,0.99382153,0.997716576
2029,0.770902096,0.770130819,0.848556086,0.802256443,0.811631946,0.738582124,0.80211137,1.023459088,1.019650262,0.951458159,0.978396474,0.951458159,0.990306629,0.968713324,0.962753428,0.982382515
2030,0.980403531,0.981260861,0.99319657,0.989296957,0.988114936,0.983175497,0.990456841,1.004159212,1.003969355,1.000773858,1.002136562,1.000773858,1.000487369,0.99864115,1.000360808,1.000262669
2031,0.905412353,0.907639145,0.955237141,0.93592121,0.934261702,0.907055732,0.939176677,1.016169454,1.01518775,0.998334267,1.0070969,0.998334267,1.00019485,0.991060382,0.997532595,0.999384558
2032,0.829406649,0.830618524,0.900266197,0.865342091,0.868447551,0.815561167,0.867585581,1.022589587,1.02070215,0.978513335,1.003834519,0.978513335,0.996059472,0.979781143,0.982462908,0.992263989
2033,0.883584065,0.885732342,0.941005077,0.917159627,0.916399454,0.882011768,0.920409829,1.01858237,1.017351103,0.994497075,1.007647436,0.994497075,0.999399364,0.988182029,0.994465997,0.998013711
2034,0.821801362,0.822807134,0.893972971,0.857526992,0.861338207,0.805818469,0.859528611,1.022930621,1.020946876,0.975557887,1.001838327,0.975557887,0.995437201,0.978459688,0.980290633,0.991193777
2035,0.908938011,0.911159418,0.957409917,0.938826405,0.937061424,0.910993204,0.942058821,1.015735554,1.014793359,0.998808734,1.006971497,0.998808734,1.000293043,0.99149759,0.997929591,0.999553811
2036,0.875851083,0.877927543,0.935650328,0.91020528,0.909860782,0.872880298,0.91339498,1.019325639,1.018003919,0.992771793,1.007750292,0.992771793,0.999040906,0.98709205,0.993131644,0.997396163
2037,0.893130796,0.895336561,0.947392461,0.92552622,0.924321683,0.893102072,0.928809464,1.017584638,1.016463568,0.996364463,1.007454218,0.996364463,0.999786793,0.989477078,0.995935272,0.998681294
2038,0.970332416,0.971541636,0.989165624,0.983232473,0.981627263,0.973982388,0.984883119,1.006124353,1.005834131,1.001031151,1.003092812,1.001031151,1.000649379,0.997838728,1.000464089,1.000349967
2039,0.98550085,0.986157654,0.99510051,0.992223044,0.991302054,0.987690273,0.993107671,1.003120528,1.00298075,1.000607714,1.001616325,1.000607714,1.000382745,0.999020621,1.000287521,1.000206288
2040,0.816115748,0.816956624,0.889181178,0.851604678,0.855966784,0.798477541,0.853410969,1.023150341,1.021093921,0.973236983,1.000085798,0.973236983,0.994947489,0.97744896,0.978589788,0.990351779
2041,1.034507729,1.032381556,1.008403143,1.015028131,1.018355393,1.025837666,1.012284962,0.991532566,0.991849056,0.997709436,0.995298061,0.997709436,0.998556603,1.001709204,0.998821446,0.999221613
2042,0.99173765,0.992127891,0.997302748,0.99566874,0.995111093,0.993083605,0.996191489,1.001808647,1.001729479,1.00037104,1.000946068,1.00037104,1.000233695,0.999460188,1.000178317,1.000125961
2043,0.806832164,0.807384585,0.881200069,0.841792009,0.847094637,0.786391001,0.843253701,1.023444445,1.021268114,0.969244132,0.99674948,0.969244132,0.994102834,0.975756608,0.975671999,0.988899977
