year,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F15,F16,F17,F18
2044,0.685299964,0.680307787,0.760797596,0.699803522,0.720897675,0.62025231,0.694524612,0.946685114,0.976471678,0.894797185,0.902033419,0.894797185,0.977827049,0.948691936,0.921772103,0.961043719
2045,0.645729819,0.638418177,0.716178824,0.64947456,0.676507237,0.564642937,0.641460428,0.870749388,0.93766081,0.862154618,0.852791902,0.862154618,0.970351589,0.937813409,0.898039215,0.948325313
2046,0.713674603,0.710220822,0.791310659,0.73486793,0.75184646,0.659934116,0.731445311,0.986385357,0.997115948,0.91574027,0.932160495,0.91574027,0.982510572,0.955847045,0.936931998,0.969036462
2047,0.707788282,0.704025281,0.785089502,0.727673837,0.745491876,0.651727158,0.723876013,0.979251823,0.993340133,0.911568233,0.926285851,0.911568233,0.98158437,0.954405896,0.933914921,0.967454348
2048,0.81326179,0.814016492,0.886748199,0.848606687,0.853252601,0.794774849,0.850310379,1.023249286,1.021156168,0.972036252,0.999122643,0.972036252,0.994693773,0.976934248,0.977711331,0.989915625
2049,0.529706415,0.514952019,0.574321352,0.496159441,0.540131075,0.404296437,0.480211742,0.559675229,0.764583688,0.744750671,0.6690846,0.744750671,0.941468602,0.899233317,0.810968977,0.899638502
2050,0.789681818,0.789641766,0.865958039,0.823218417,0.830384115,0.763760729,0.823964528,1.023777232,1.021361573,0.961212528,0.989055917,0.961212528,0.992395455,0.972492786,0.969826285,0.98596717
2051,0.632440109,0.624313166,0.700702253,0.632264406,0.661312478,0.545975344,0.623311861,0.840607428,0.922119491,0.850317289,0.834510135,0.850317289,0.967585494,0.933915455,0.889391716,0.943631381
2052,0.637621727,0.629814521,0.706764196,0.638990639,0.667252753,0.553250508,0.630404514,0.852607542,0.92832433,0.85498409,0.841737009,0.85498409,0.968679619,0.935450235,0.892803859,0.945487271
2053,0.700281118,0.696115963,0.777071378,0.718436235,0.737336614,0.641239154,0.714151893,0.969302704,0.988137519,0.906115651,0.91850521,0.906115651,0.980368826,0.952535307,0.929969889,0.965379101
2054,0.710503789,0.70688412,0.78796674,0.730998113,0.748427819,0.655515176,0.727374095,0.982616357,0.995115275,0.913504217,0.929020857,0.913504217,0.982014578,0.955073516,0.935315101,0.968189127
2055,0.483889509,0.466167906,0.515085262,0.434994008,0.484643784,0.344020867,0.41641985,0.427387017,0.677016398,0.690128691,0.585309402,0.690128691,0.926788968,0.88084299,0.769264435,0.875172251
2056,0.683869001,0.678796215,0.759224619,0.698010607,0.719316359,0.618244519,0.69263523,0.944337844,0.975268766,0.893685818,0.900395499,0.893685818,0.977576104,0.948317052,0.920966427,0.960615996
2057,0.650813063,0.643808953,0.722035961,0.656020259,0.682283089,0.5717888,0.648363477,0.881708417,0.943279221,0.866567428,0.859561362,0.866567428,0.971375087,0.939271293,0.901256821,0.95006381
2058,0.557150431,0.544194155,0.609091466,0.53283731,0.573036041,0.441451101,0.518655357,0.639683242,0.812538422,0.775310362,0.716858534,0.775310362,0.949314441,0.909335034,0.833941142,0.912792279
2059,0.492424922,0.475249399,0.526213881,0.44635779,0.495019916,0.355058418,0.428236274,0.451540611,0.693944838,0.70063588,0.601216562,0.70063588,0.929682209,0.884422029,0.777355318,0.879979394
2060,0.695514796,0.691089961,0.771932735,0.71253611,0.732129879,0.634569498,0.707938571,0.962500258,0.984610593,0.90257759,0.913399827,0.90257759,0.979576993,0.951328562,0.92740869,0.964027918
2061,0.65547309,0.648748645,0.727374138,0.662001739,0.687559885,0.578341019,0.654671445,0.891462018,0.948268873,0.870556547,0.865655823,0.870556547,0.972296781,0.94059192,0.9041628,0.951630154
2062,0.582766865,0.571481362,0.640941906,0.566941269,0.603440803,0.476673953,0.55449642,0.712369517,0.853682412,0.802312779,0.759323668,0.802312779,0.956046506,0.918194156,0.854045908,0.924121473
2063,0.722484238,0.719482735,0.800510875,0.745550844,0.761289535,0.672185383,0.742678538,0.995941886,1.002264905,0.9218134,0.94057518,0.9218134,0.983852884,0.957962258,0.941322136,0.971330666
2064,0.567449827,0.55516713,0.62197277,0.546571428,0.585300197,0.455557449,0.533079433,0.669252521,0.829524028,0.786346352,0.734200156,0.786346352,0.952087871,0.912961219,0.842179008,0.917454837
2065,0.643235997,0.635772575,0.713292499,0.646255521,0.673666203,0.561138058,0.638065688,0.865254434,0.934837974,0.859966376,0.849425099,0.859966376,0.969842518,0.937091526,0.896442461,0.94746095
2066,0.619446002,0.610507794,0.685350256,0.61531379,0.646330354,0.527757954,0.605441349,0.809221296,0.905758481,0.838327471,0.815849059,0.838327471,0.96475261,0.929981178,0.880607025,0.938830942
2067,0.596848438,0.586472332,0.658168536,0.58559071,0.620004297,0.496211595,0.57412559,0.750792719,0.874669821,0.816513578,0.781661698,0.816513578,0.959515492,0.922841052,0.864551923,0.92997467
2068,0.65644821,0.649782003,0.728487324,0.66325098,0.68866183,0.579712162,0.65598885,0.893466657,0.949293353,0.871384442,0.866917462,0.871384442,0.97248765,0.940866352,0.90476559,0.951954612
2069,0.642375004,0.634859045,0.712294054,0.645142991,0.672684215,0.559928161,0.636892446,0.863339556,0.933853286,0.859207328,0.848255785,0.859207328,0.969665695,0.936841274,0.895888398,0.94716077
2070,0.578857445,0.567318092,0.636122533,0.561749609,0.598822492,0.471269883,0.549035404,0.701480516,0.847645246,0.798288737,0.752990394,0.798288737,0.955054706,0.91687642,0.851060648,0.92244993
2071,0.542854077,0.52896097,0.591055553,0.51374017,0.555932977,0.422011741,0.498623762,0.598137745,0.788027462,0.759598067,0.692238973,0.759598067,0.945311586,0.904154026,0.822160271,0.906074672
